imdb_id,popularity,budget,original_title,cast,homepage,director,overview,genres,revenue_adj,certificate,runtime,rating,votes
tt1228705,5.70486,200000000,Iron Man 2,"Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Mickey Rourke",http://www.ironmanmovie.com/,Jon Favreau,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.","Adventure,Action,Science Fiction",623933331.00,PG-13,124 min,6.9,825494.0
tt1320253,3.74884,80000000,The Expendables,"Sylvester Stallone,Jason Statham,Dolph Lundgren,Eric Roberts,Randy Couture",http://expendablesthemovie.com/,Sylvester Stallone,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert, heavy weapons specialist, demolitionist, and a loose-cannon sniper. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.","Action,Thriller",274470394.00,R,103 min,6.4,349613.0
tt0892769,3.560424,165000000,How to Train Your Dragon,"Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill",http://www.howtotrainyourdragon.com/,Dean DeBlois|Chris Sanders,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast â€“ which he names Toothless â€“ much to the chagrin of his warrior father","Fantasy,Adventure,Animation,Family",494878759.00,PG,98 min,8.1,748554.0
tt1104001,2.911727,170000000,TRON: Legacy,"Garrett Hedlund,Jeff Bridges,Olivia Wilde,Bruce Boxleitner,Yaya DaCosta",http://disney.go.com/tron/,Joseph Kosinski,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","Adventure,Action,Science Fiction",400062763.00,PG,125 min,6.8,341820.0
tt0944835,2.586787,110000000,Salt,"Angelina Jolie,Liev Schreiber,Corey Stoll,Chiwetel Ejiofor,Daniel Olbrychski",http://www.sonypictures.com/homevideo/salt/,Phillip Noyce,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""","Action,Thriller,Crime,Mystery",293329073.00,PG-13,100 min,6.4,318613.0
tt1243957,2.162441,100000000,The Tourist,"Johnny Depp,Angelina Jolie,Paul Bettany,Timothy Dalton,Steven Berkoff",http://thetourist-movie.com/,Florian Henckel von Donnersmarck,"American tourist Frank (Johnny Depp) meets mysterious British woman Elsie (Angelina Jolie) on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by JÃ©rÃ´me Salle.","Action,Thriller,Romance",278346189.00,PG-13,103 min,6.0,246603.0
tt0473075,2.128799,150000000,Prince of Persia: The Sands of Time,"Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint",http://disney.go.com/disneypictures/princeofpersia,Mike Newell,"A rogue prince (Jake Gyllenhaal) reluctantly joins forces with a mysterious princess (Gemma Arterton) and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Timeâ€”a gift from the gods that can reverse time and allow its possessor to rule the world. Based on the action-adventure video game of the same name.","Adventure,Fantasy,Action,Romance",335154643.00,PG-13,116 min,6.6,293293.0
tt0955308,2.11831,200000000,Robin Hood,"Russell Crowe,Cate Blanchett,Mark Strong,Oscar Isaac,LÃ©a Seydoux",http://www.robinhoodthemovie.com/,Ridley Scott,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",Action,310669540.00,PG-13,140 min,6.6,272839.0
tt0800320,2.087252,125000000,Clash of the Titans,"Sam Worthington,Liam Neeson,Ralph Fiennes,Gemma Arterton,Jason Flemyng",http://www.clash-of-the-titans.com/,Louis Leterrier,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.","Adventure,Fantasy,Action",232713139.00,PG-13,106 min,5.8,285365.0
tt0963966,2.053855,150000000,The Sorcerer's Apprentice,"Nicolas Cage,Jay Baruchel,Monica Bellucci,Alfred Molina,Teresa Palmer",http://disney.go.com/disneypictures/sorcerersapprentice/,Jon Turteltaub,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protÃ©gÃ©. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.","Fantasy,Adventure,Action,Comedy,Drama",215283742.00,PG,109 min,6.1,164427.0
