movie_id,certificate,runtime,rating,votes
tt0418689,R,135 min,7.1,125058.0
tt0071807,PG,125 min,6.7,107750.0
tt1596350,PG-13,103 min,6.3,188979.0
tt1899353,R,101 min,7.6,207524.0
tt0372588,R,98 min,7.2,171855.0
tt3381008,R,83 min,6.2,104994.0
tt0086034,PG,131 min,6.5,108010.0
tt4116284,PG,104 min,7.3,155600.0
tt0440963,PG-13,115 min,8.0,639211.0
tt1735898,PG-13,127 min,6.1,292871.0
tt0473075,PG-13,116 min,6.6,293293.0
tt0448157,PG-13,92 min,6.4,489021.0
tt0137494,PG-13,113 min,6.3,118209.0
tt1192628,PG,107 min,7.2,271713.0
tt0076752,PG,125 min,7.0,110946.0
tt1289401,PG-13,117 min,6.8,234794.0
